positive,negative
安定,败坏名声
安康,被没收的
帮助,变节
榜样,不便
饱满,不适当
保证,妨碍
筚路蓝缕,腐败
变得更好,焦头烂额
举手称赞,困惑
标杆,落后于
不可思议的,密谋策划
破格录用,批评
才思,欺骗
喜兆,欺诈地
彩头,收缩
灿烂的,死锁
昌盛,伪造者
超常发挥,无能为力的
超群的,刑事的
超越,异议
称赞,重新评估
称赞的,坏的
成功,受伤害的
成功的,损害
成功者,危害
成果,有害的
成就,阻止
诚恳,暗淡
充裕,暗地里破坏
充裕的,暗指
充足,暗中破坏
宠爱,肮脏的
宠爱的,拔苗助长
出众的,霸占
创新,败坏
创业,办错
创造,薄弱环节
创造力,保释金
创造性,报废
创造性的,报复
创造性地,报复的
慈善事业的,报警
从容不迫,报怨
从容地,抱怨
促进,抱怨的
达到目的,暴跌
打动人,暴跌的
打动人心的,暴行
大获成功,暴力
大量,暴露
大人物,暴露的
大师,卑鄙的
大受欢迎,卑劣地
到达,卑微的
得天独厚的,悲惨的
得益,悲剧
第一的,悲剧的
巅峰时刻,悲剧地
典范,悲伤的
斗志昂扬,悲痛
独创性,悲痛的
独家,背离
独家报道,背叛
独家经营,背叛的
独特魅力,背弃
独有的,背信弃义
多才多艺的,被剥夺
多功能性,被捕的
恩惠,被惩罚的
发明,被打败的
发明家,被打断的
发明者,被告
发展,被忽略的
发展潜力,被忽视
繁荣,被忽视的
方便地,被毁
非常卓越的,被击败
奋勇争先,被降级的
丰富,被解雇
丰富的,被禁止的
丰饶的,被拘留的
风度翩翩,被拒的
符合要求的,被拒付支票
富庶的,被抛弃的
改进,被迫的
改良,被迫放弃
改善,被迫交出
感到满意,被欺骗的
高手,被谴责的
高效,被损坏的
高新,被误解的
高兴,笨重的
高兴的,崩溃
高瞻远瞩,崩溃的
革新,崩盘
给人深刻印象,弊端
公平,编造的
公正,贬黜
功成名就,贬低
恭喜,变坏
巩固,变慢
鼓励,变弱
鼓励的,变态
鼓舞,变态的
鼓舞人心的,变态地
关键时刻,变萧条
光荣的,辩护
国泰民安,辩解
好处,表现不佳
好的,濒临灭绝的
合算的,病态的
合意,剥夺
合作,剥夺财产
和睦的,剥离
恒心,驳回
欢呼,捕风捉影
欢呼雀跃,不安
缓和,不安的
回升,不安的状态
活力四射,不安定
活跃,不安全
活跃的,不安全的
获得授权的,不安稳
获利,不按计划的
获胜,不被接受的
获胜的,不必要的
机遇,不必要地
积极的,不便的
激动的,不成比例的
激励,不成比例地
极大的,不成功
极好,不成功的
极好的,不成熟的
急速发展,不诚实
加强,不诚实的
坚定,不承诺
坚定的,不充分
坚决,不充分的
独家新闻,不充足的
坚强的,不达标
坚挺,不道德
建设性的,不道德的
建议,不法地
奖金,不法行为
奖励,不服从
奖励的,不符
奖牌,不符合要求的
奖品,不付欠款
奖赏,不高兴的
较好的,不公开的
杰出,不公平
杰出的,不公平待遇
杰出人物,不公平的
结盟,不公平地
解决,不公正
金点子,不公正的
锦囊妙计,不公正地
进步,不顾
晋升,不顾后果的
惊人的,不顾一切地
精巧,不光彩
精通,不好的预兆
精通的,不合法的
精于,不合法地
净化,不合格
决心,不合格的
慷慨的,不合格品
犒劳,不合规格的
靠谱,不合理
可爱的,不合理的
可敬的,不合时宜
可靠性,不合适
可喜的,不合适的
可信任,不及格
可预测,不健康
渴望的,不健全的
肯定的,不接受
肯定地,不经济
空前未有的,不经济地
快乐,不精确
快乐的,不景气
快速的,不景气的
宽恕的,不均衡
牢固,不可避免的
牢固的,不可避免地
乐观的,不可恢复的
乐趣,不可靠的
乐事,不可靠地
了不起的,不可调和
礼貌的,不可信的
礼让的,不牢固的
理想的,不牢靠的
力量,不利的
联合,不利地
联盟,不利条件
联姻,不利于经济发展的因素
廉正,不良分子
良好的,不良资产
领导能力,不令人满意的
领导者,不履行
领先,不履行义务
令人高兴的事,不满
令人鼓舞的,不满意的
令人满意,不满足的
令人满意的,不明智的
令人满意地,不能接受的
令人钦佩的,不能立即付现
令人信服地,不能胜任的
令人愉快的,不配套
流畅地,不披露
流行的,不匹配
流利地,不平
履行,不平衡
满腔热情地,不起作用
满意,不起作用的
满意的,不恰当
满足,不恰当的
美德,不切实际
美好,不切实际的
美丽,不如预期
盟国,不胜任
梦想,不胜任的
梦想成真,不适当的
密切地,不适当地
妙计,不适合
名列前茅,不适任
名气,不适任的
明确地,不适宜
乐观主义的,不适宜的
能干的,不适宜地
能手,不受欢迎
弄潮儿,不受欢迎的
漂亮,不熟练
平稳的,不熟练的
普及的,不顺利的
期望,不同意
奇特,不同意的
起作用的,不妥
恰当,不完备的
谦卑的,不稳定
谦逊的,不稳定的
前进,不喜欢
虔诚的,不现实的
强化,不相称
强项,不相称的
享有声望的,不相容
巧妙的,不相容的
亲切的,不相宜
亲切地,不协调
勤奋地,不幸
勤勉的,不幸的
勤勉地,不幸事件
情况好转,不许可
趣味性,不宜的
热忱,不友好的
热情,不愉快的
热情的,不愿意
热心,不悦
热心的,不赞成
热心地,不赞成的
仁慈的,不真实
荣获,不真实的
荣幸,不正当
荣誉,不正当的
容易的,不正当地
融洽的,不正当行为
如愿以偿,不正确
润色,不正确的
闪耀的,不正确地
善行,不忠诚的
擅长,不准
擅长的,不准确
令人满足,不准确地
令人满足的,不准许
上涨,不自信
升官,不足
升职,不足的
声望,不足之处
声誉,不尊重
胜过,猜想
胜过的,猜疑
胜利,裁减人数
胜利的,裁决
胜利者,裁员
盛产,蚕食
石破天惊,惨案
实力,惨败
实现,操之过急
实在,操纵
适当,操纵的
首位的,插曲
受大众欢迎,查抄
受到喜爱的,查封的
受欢迎的,差错
受益,差额
受尊敬的,差于预期
舒适的,拆除
熟练,拆台
熟练的,掺杂
顺利,搀假
顺利的,搀杂的
顺利地,产权负担
顺遂,忏悔
讨人喜欢的,偿付
套期保值,偿付能力
无双的,偿还
特许经营权,超出限度
特许权,超负荷的
提拔,超载
提高,嘲弄
提升,嘲笑
天才,撤换
通用的,撤回
同舟共济,撤消
头筹,撤销
突破,撤销的
突破性进展,沉闷的
团结,成见
完美,成为阻碍
完美的,成问题的
完美地,惩罚
完全地,惩罚性的
完整,迟
万能的,迟到的
威望,迟的
唯一地,迟钝
伟大,迟钝的
伟大的,耻辱
温和地,冲动
稳定,冲击
稳定的,冲突
稳定化,冲突的
稳定性,丑闻
稳固,出故障
问候的,出故障的
无比的,出价过高
无法鉴定,处罚
无与伦比的,处理不当
吸引力,处于不利地位的
吸引人,处置失当
希望,传唤
喜爱,传票
喜欢,传审
喜欢的,传讯
喜庆,串通
先发优势,闯入
先行一步的,创伤
先行者,辞职
先机,次品
先驱,刺痛
显著的,粗心
显著地,粗心大意
相称的,粗心大意的
想得到的,粗心的
向上,篡夺
效率高地,篡改
心灵手巧,篡权
欣然的,脆弱
欣赏,脆弱点
欣喜的,挫败
新方法,挫败的
新兴,挫折
信赖,错过
信任,错配
信心满满的,错失
信仰,错位的
兴奋,错误
兴高采烈,错误的
兴旺,错误地
幸福,打碎
幸福的,大祸
幸运,大恐慌
幸运儿,大灾难
勋章,呆账
一帆风顺,逮捕
毅力,逮捕的
引人注目的,逮住
印象深刻的,带来痛苦
赢得,怠工
赢者,担心
用功的,担忧
用途广泛,担忧的
优化,耽搁
优良的,倒闭
优胜者,倒塌
优势,倒塌的
优秀,倒转
优秀的,盗用
优雅,低谷
优异,低价处理
优于,低劣
友好的,低迷时期
友好地,低市值
有帮助的,低于标准的
有报酬的,敌对
有好报,敌对的
有技巧的,敌手
有价值的,敌意
有竞争力,诋毁
有利,抵触
有利的,抵赖
有利地,抵制
有利条件,底谷
有利于,跌
有魅力,定价过高
有名望的,定罪
有能力的,丢脸
有启发的,动荡
有前瞻性的,动荡的
有特色的,动荡的局面
有效的,动乱
有学问的,动乱的
有益,斗争
有益的,渎职
有益于,堵塞
有影响力,断绝
有影响力的,对抗
有助地,对立
有助益的,对立的
有助于,对质
愉快,多付的款项
愉快的,夺
愉快地,夺取
愉悦,夺权
与众不同的,堕落
圆满,堕落的
